"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"83","https://static-cdn.jtvnw.net/jtv_user_pictures/7cb798db-7002-4b97-914e-a2edd31d238f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","N3on","925177980","42930","286304","21550","578937","375920","Partner","false","English","https://www.twitch.tv/n3on"
"84","https://static-cdn.jtvnw.net/jtv_user_pictures/04c65db8-ef62-4fb5-8cff-09f0521de151-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Thebausffs","910657335","79620","33849","11437","1601946","123094","Partner","false","English","https://www.twitch.tv/thebausffs"
"85","https://static-cdn.jtvnw.net/jtv_user_pictures/46a38d3a-a39c-4c43-ac12-c331b1c469c2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IShowSpeed","904988895","64800","70115","13965","3659118","3166109","Partner","false","English","https://www.twitch.tv/ishowspeed"
"86","https://static-cdn.jtvnw.net/jtv_user_pictures/929b9591-07c5-4adb-adf0-5f0897332391-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Rainbow6","900008835","109320","89234","8232","3199356","166742","Partner","true","English","https://www.twitch.tv/rainbow6"
"87","https://static-cdn.jtvnw.net/jtv_user_pictures/6d3b4513-6824-4912-848c-dc046ee262ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mixwell","898169175","119010","43299","7547","1269631","53508","Partner","false","Spanish","https://www.twitch.tv/mixwell"
"88","https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","forsen","892739880","119460","78245","7473","1784371","19368","Partner","true","English","https://www.twitch.tv/forsen"
"89","https://static-cdn.jtvnw.net/jtv_user_pictures/46df8e2c-2304-440c-994a-1f131f29c469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sasatikk","889657455","128010","32488","6949","428372","33918","Partner","false","Japanese","https://www.twitch.tv/sasatikk"
"90","https://static-cdn.jtvnw.net/jtv_user_pictures/6d33e15c-f918-468f-9a29-f56399786532-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Pestily","888760350","121125","110199","7337","1481950","82597","Partner","false","English","https://www.twitch.tv/pestily"
"91","https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","buster","885812700","28125","751946","31495","4865725","427901","Partner","false","Russian","https://www.twitch.tv/buster"
"92","https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZeratoR","883448070","82815","171999","10667","1629857","28505","Partner","false","French","https://www.twitch.tv/zerator"
"93","https://static-cdn.jtvnw.net/jtv_user_pictures/43c71a14-c368-4f41-9373-ccdb795f267f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HutchMF","870700845","171705","27568","5070","645986","222079","Partner","true","English","https://www.twitch.tv/hutchmf"
